query,pred,crnl_links
57.105,1,"§ 57.105 Submittal of required plans, proposals, and reports. (a) The failure of a smelter owner ...  Section 57.105  ...|§ 60f. Repealed. Pub. L. 90–57, § 105(i)(2), July 28, 1967, 81 Stat. 144 § 60f  ...|§ 72a–4. Repealed. Pub. L. 90–57, § 105(i)(1), July 28, 1967, 81 Stat. 144 § 72a–4  ...#https://www.law.cornell.edu/cfr/text/7/57.105|https://www.law.cornell.edu/cfr/text/40/57.105|https://www.law.cornell.edu/uscode/text/2/60f"
627.428,1,
207,1,"Stat. 1023; Pub. L. 85–207, § 16, Aug. 28, 1957, 71 Stat. 484.) § 222  ...  § 222. Giving suggestions or information with intent to cause inaccurate enumeration of population ...|§ 571.222 Standard No. 222; School bus passenger seating and crash protection. S1. Scope. This ...  § 571.208 and the requirements of §§ 571.207, 571.209 and 571.210 as they apply to school buses with a gross ...  subjected to either S5.1.3, S5.1.4, S5.1.6, or S5.3 of this standard or § 571.207, § 571.210 or § 571.225. ...|upon issuance of patent, be excluded from the park. (Apr. 19, 1930, ch. 191, § 1, 46 Stat. 222.) § 207  ...  § 207. Exchange of certain lands; adjustment of boundary The Secretary of the Interior is ...  meridian: Provided, That the land acquired by the United States under this section and section 207a of this ...#https://www.law.cornell.edu/uscode/text/16/207a|https://www.law.cornell.edu/uscode/text/13/222|https://www.law.cornell.edu/cfr/text/49/571.222"
3025,1,"3025.7002 Restrictions on clothing, fabrics, and related items. Section 3025.7002  ...|§ 3025. Length of service for promotion purposes (a) General rule Each officer shall be assumed to ...  2002, 116 Stat. 3085.) § 3025  ...|§ 3025.1 Definitions. § 3025.2 Applicability. § 3025.3 Notice by the Postal Service. § 3025 ... .10 Starting an appeal. § 3025.11 Submitting an appeal and other documents. § 3025.12 Duplicate appeals. ...  § 3025.13 Deadlines for appeals. § 3025.14 Participation by others. § 3025.20 The record on review. ...#https://www.law.cornell.edu/cfr/text/48/part-3025/subpart-3025.70|https://www.law.cornell.edu/cfr/text/48/3025.7002|https://www.law.cornell.edu/uscode/text/33/3025"
stop $54 billion merger,0,"standard articulated by  Terry v. Ohio. In this case, the State of Arizona argues that police officers ...  id.   at 16. In  Terry v. Ohio, the  Supreme Court of the United States  ruled that a pat-down search ...  Fourth Amendment consensual encounter frisk search seize Terry v. Ohio In the course of a minor ...|derived from the Supreme Court case Terry v. Ohio, 392 U.S. 1 (1968).  Terry  held that a stop-and-frisk ...  A Reasonable Stop In Rodriguez v. United States, 575 U.S.__ (2015), the Supreme Court held, ""[A] police ...  REASONABLE SEARCH AND SEIZURE search and seizure search Terry v. Ohio exclusionary rule criminal law evidence ...|implicating a constitutional right. In 1939 the U.S. Supreme Court considered the matter in United States v. ...  Principles and Policies 26-28 (2006). Federal Decisions: U.S. Supreme Court: United States v. Miller (1939) ...  District of Columbia v. Heller (2008)   CIVICS civil rights the Constitution wex articles United States ...# 147 Ohio St. 3d 175, 2016-Ohio-1594,https://www.law.cornell.edu/supct/cert/07-1122|https://www.law.cornell.edu/supct/cert/07-1122_0|https://www.law.cornell.edu/wex/stop_and_frisk"
1332(d),1,U.S.C. § 1332 Whether a court can demand proof of the citizenship of an unnamed corporate entity ...|1332.802 Conditions. Subpart 1332.8  ...|1332.501 General. 1332.501-2 Unusual progress payments. Subpart 1332.5  ...#https://www.law.cornell.edu/supct/cert/04-712|https://www.law.cornell.edu/supct/cert/04-712_0|https://www.law.cornell.edu/cfr/text/48/part-1332/subpart-1332.8
149.43,1,"long. 149°43′08″ W.; thence north along long. 149°43′08″ W., to lat. 61°17′30″ N.; thence to lat. ...|Farrell Road and the long. 149°43′08″ W.; thence west along Farrell Road to the east end of Sixmile Lake; ...|1975; Amdt. 121-149, 43 FR 50602, Oct. 30, 1978; Amdt. 121-178, 47 FR 13316, Mar. 29, 1982; Amdt. ...#https://www.law.cornell.edu/cfr/text/14/93.55|https://www.law.cornell.edu/cfr/text/14/93.53|https://www.law.cornell.edu/cfr/text/14/93.65"
542,1,§§ 542 to 546. Omitted §§ 542  ...|542.1107 Contract clause. Subpart 542.11  ...|§ 542. Omitted § 542  ...#https://www.law.cornell.edu/uscode/text/48/542..|https://www.law.cornell.edu/uscode/text/48/542|https://www.law.cornell.edu/cfr/text/48/part-542/subpart-542.11
132a,1,"departments, and the Under Secretaries of Defense. § 132a  ...  Secretary’s capacity as Chief Management Officer of the Department of Defense under section 132 (c) of this ...|§ 901(d), Dec. 23, 2016, 130 Stat. 2342.) § 132a  ...  § 132a. Deputy Chief Management Officer (a) Appointment.— There is a Deputy Chief Management ...  Department of Defense under section 132(c) of this title. (c) Precedence.— The Deputy Chief Management ...|§ 132.6 Application of part 132 requirements in Great Lakes States and Tribes. (a) Effective ...  Lakes System in the States of Indiana, Michigan and Ohio. (d) Effective November 6, 2000, § 132 ...  pursuant to § 132.4(a) through (c) are the criteria and values adopted or developed by New York State ...#https://www.law.cornell.edu/uscode/text/2/132a|https://www.law.cornell.edu/uscode/text/10/132a|https://www.law.cornell.edu/uscode/text/10/132a"
801.05(3),1,
