query,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,r_9,r_10,r_11,r_12,r_13,r_14,r_not
00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
01:02,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
04:01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
04:17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
04:18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
04:19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11:22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.505555555556,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12:15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.640972222222,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.668055555556,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17:30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18:03,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.828472222222,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23:10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23:13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.00208333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.08,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.1031,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
