query,y_n
"""28 U.S.C. § 1915A""",1.0
"""12(b)(6)""",
18.2-119,
corporations code 13290,1.0
404(b),1.0
501.204,1.0
57.105,1.0
Rule 803,
2255,1.0
26(b)(4)(D),
form (8-k),1.0
701.02,1.0
Probate Code - § 19100,1.0
CCP 2030.300,
12 usc 2605,1.0
768.0415,0.0
403,1.0
627.428,0.0
4511.19,0.0
"""4123.90""",0.0
830.31,
"FORM(""Exhibit 10"")",1.0
"atl3(""securities"")",1.0
"""34""",
CPL 440,1.0
257.625,1.0
9019,1.0
26(b)(5),
rule 37,
"""CPLR 2201""",0.0
"""41.700""",0.0
FRE 201,
L 1994,
"""p-14-03",0.0
"""chapter 11 trustee""",1.0
McKesson Corp. v. Longistics Transportation Inc november 4 2010,
207,1.0
3211,1.0
2919.23(a)(1),0.0
"""temporary labor camps"" 1910.142",1.0
ccp 473,
30.3,1.0
703,1.0
3025,1.0
r.2:2-1(a)(2),0.0
778.21,1.0
"""Proposition 21"" + California",1.0
12b6,0.0
"Fla. Stat. § 48.031 & ""affidavit proper on its face""",1.0
Civil Code 955,1.0
Seth Stoughton,
"""448.08""",0.0
10-K,
"547 US. 268; ""true value of case""",1.0
2025.48,0.0
"""Rule 42""",
803(6),1.0
"""rule 408""",
18.2-95,
penal code 459,1.0
rule 26,
45,
"""1332(d)""",1.0
16-13-30,1.0
Rule 26,
article 78,1.0
chapter 7,1.0
"""2315.18 (B)(2)"" cap award",1.0
"""rule 15""",
"""Rule 45(d)(1)""",
18.2-178,
rule 59,
149.43,
26(b)(5)(B),
section 402(c)(6) proceeds,
542,1.0
"""12:235-3.6""",1.0
"""18 U.S.C. 248""",1.0
"""21 C.F.R. § 202.1(e)""",0.0
"""626.9541""",0.0
42 usc 7604 (d) injunct!,
limit scope of 30(B)(5) deposition,1.0
rule 45,
"""CPLR 3101""",0.0
132a,1.0
chapter 11,1.0
736.1001,0.0
"""801.05(3)""",0.0
"""article 78""",1.0
12(B)(2),
ccp 437c,
362,1.0
12(b)(1),
Article 81,1.0
1608,1.0
"""Fed. R. Crim. P. 44""",0.0
§ 303.131 Proceedings for Temporary Restraining Order and Order to Show Cause re Preliminary Injunction [Code Civ. Proc. § 527]%2014Ex Parte Application,0.0
CCP 473,
Docket No. 185,1.0
UM 1147,
1.28,1.0
1.51,1.0
"""8-k""",1.0
"""Rule 26""",
