query,y_n
"""28 U.S.C. § 1915A""",0
"""12(b)(6)""",1
18.2-119,1
corporations code 13290,0
404(b),1
501.204,1
57.105,1
Rule 803,1
2255,1
26(b)(4)(D),1
form (8-k),1
701.02,1
Probate Code - § 19100,0
CCP 2030.300,0
12 usc 2605,0
768.0415,0
403,1
627.428,0
4511.19,0
"""4123.90""",0
830.31,0
"FORM(""Exhibit 10"")",0
"atl3(""securities"")",1
"""34""",1
CPL 440,1
257.625,1
9019,1
26(b)(5),1
rule 37,0
"""CPLR 2201""",0
"""41.700""",0
FRE 201,1
L 1994,1
"""p-14-03",0
"""chapter 11 trustee""",1
McKesson Corp. v. Longistics Transportation Inc november 4 2010,0
207,1
3211,1
2919.23(a)(1),0
"""temporary labor camps"" 1910.142",0
ccp 473,1
30.3,1
703,1
3025,1
r.2:2-1(a)(2),0
778.21,1
"""Proposition 21"" + California",0
12b6,0
"Fla. Stat. § 48.031 & ""affidavit proper on its face""",0
Civil Code 955,0
Seth Stoughton,0
"""448.08""",0
10-K,0
"547 US. 268; ""true value of case""",0
2025.48,1
"""Rule 42""",1
803(6),1
"""rule 408""",1
18.2-95,1
penal code 459,0
rule 26,0
45,1
"""1332(d)""",1
16-13-30,1
Rule 26,0
article 78,1
chapter 7,1
"""2315.18 (B)(2)"" cap award",0
"""rule 15""",1
"""Rule 45(d)(1)""",1
18.2-178,1
rule 59,0
149.43,0
26(b)(5)(B),1
section 402(c)(6) proceeds,0
542,1
"""12:235-3.6""",1
"""18 U.S.C. 248""",1
"""21 C.F.R. § 202.1(e)""",0
"""626.9541""",0
42 usc 7604 (d) injunct!,0
limit scope of 30(B)(5) deposition,0
rule 45,0
"""CPLR 3101""",0
132a,1
chapter 11,1
736.1001,0
"""801.05(3)""",0
"""article 78""",0
12(B)(2),1
ccp 437c,1
362,1
12(b)(1),1
Article 81,0
1608,1
"""Fed. R. Crim. P. 44""",0
§ 303.131 Proceedings for Temporary Restraining Order and Order to Show Cause re Preliminary Injunction [Code Civ. Proc. § 527]%2014Ex Parte Application,0
CCP 473,1
Docket No. 185,1
UM 1147,1
1.28,1
1.51,1
"""8-k""",1
"""Rule 26""",1
danger to community bail reform act 924(c),0
212,1
702,1
"""§ 1030""",1
"""rule 1.442""",0
"""section 8""",0
37(c)(1),1
Prob. Code,0
R.C.M. 703(f)(2),0
162,1
627.4137,0
1127,1
"""26(g)""",1
"""prop 65""",0
56(f),1
FDCPA 802 class action,0
404,1
501,1
1910.142,1
"""chapter 7""",1
"""Rule 11""",1
13-90-102,0
39-14-121,0
41-29-139,0
1.19,1
31.7,1
1125,1
"""26(b)(2)(C)""",1
"""2805-b""",1
"""3-717""",0
"""Civ. R. 60(B)(5)""",0
134 S. Ct. 761-62.,1
18.2-308.2,0
RPAPL 1304,1
Rule 12,0
44.302,1
701,1
893.13,0
2984.4,1
"""44-7-14""",1
"""Rule 50""",1
"§ 67 DETRIMENTAL RELIANCE%2014""PROMISSORY ESTOPPEL""",0
15 usc 1114,0
33(a)(4),1
40-6-391,1
family code 3557,0
rpapl 741,1
95.11,1
200.82,1
316.401,1
718.111,1
87100,0
"""Rule 24""",1
10b5,0
19.2-266.2,1
404b,1
Article 78,0
irs 706 form,1
rule 16,0
Text messages discoverable 3101,0
1.37,1
153,1
412,1
713,1
768.28,1
1104,1
"""1637""",1
"""4:42-9(b)""",0
"""503(b)(3)(D)""",1
"""measure 37""",0
101.103 Motion for Summary Judgment by Defendant,0
10-k,0
18.2-248,0
8(a),0
A201-2007,0
