,name,n_or_f
1,00,1.0
3,00,1.0
4,01,1.0
5,01,1.0
8,04:17,1.0
9,04:18,1.0
11,11:22,1.0
14,0.640972222222,0.0
15,0.668055555556,0.0
16,17:30,1.0
17,18:03,1.0
18,0.828472222222,0.0
19,23:10,1.0
20,23:13,1.0
21,1,1.0
22,1,0.0
23,1.00208333333,0.0
25,1.1,0.0
26,1.1031,0.0
28,1.13,0.0
30,1.16,0.0
31,1.16,0.0
33,1.2,0.0
34,1.21805555556,0.0
35,1.25,0.0
36,1.27,0.0
37,1.27222222222,0.0
39,1.28,0.0
41,1.32,0.0
42,1.33,0.0
44,1.351,0.0
45,1.36,0.0
46,1.36,1.0
47,1.37,0.0
48,1.38,0.0
51,1.42,0.0
53,1.44,0.0
54,1.451,0.0
55,1.469,0.0
56,1.5,0.0
57,1.6,0.0
58,1.61,0.0
59,1.62986111111,0.0
61,1.72,0.0
62,1900-01-01,1.0
64,1.9,0.0
65,1.977,1.0
66,1.99583333333,0.0
70,2.23055555556,0.0
71,2.28680555556,0.0
72,2.312,0.0
74,1900-01-02,1.0
76,2.516,0.0
77,3,1.0
78,3.125,0.0
79,3.131,0.0
80,3.134,0.0
81,3.152,0.0
82,3.19,0.0
83,3.191,0.0
84,3.212,0.0
85,3.22,0.0
86,3.4,0.0
87,3.5,0.0
88,3.603,0.0
89,3.7,0.0
90,3.7,0.0
91,3.85,0.0
93,4.04,0.0
96,5,1.0
97,5,1.0
98,5,1.0
99,5,1.0
100,5.4,0.0
101,5.49,0.0
103,6.1,0.0
105,6.5,0.0
107,7.1,0.0
108,7.135,0.0
109,7.209,0.0
110,7.3,0.0
111,8.01,0.0
113,8.1115,0.0
114,8.1115,1.0
115,8.112,1.0
116,8.3,0.0
117,8.679,0.0
118,9,0.0
119,9.01,0.0
120,9.02,0.0
121,9.03,0.0
123,9.14,0.0
124,9.2,0.0
125,9.22,0.0
128,9.406,0.0
129,9.672,0.0
130,10,0.0
132,10,1.0
136,10,1.0
137,10,1.0
138,10,1.0
141,10,1.0
142,10,1.0
144,10,1.0
145,10,1.0
146,10,1.0
147,10,1.0
148,10,1.0
149,10,1.0
150,10,1.0
151,10,1.0
152,10,1.0
153,10,1.0
154,10,1.0
155,10,1.0
156,10,1.0
157,10,1.0
158,10,1.0
159,10,1.0
160,10,1.0
161,10,1.0
162,10,1.0
164,1900-01-10,1.0
166,1900-01-11,1.0
167,11.07,0.0
169,12,0.0
170,12,1.0
171,12,1.0
172,12,1.0
173,12,1.0
174,12,1.0
176,12,1.0
178,12,1.0
179,12.01,0.0
180,12.09,0.0
181,12.14,0.0
182,12.19,0.0
183,12.28,0.0
184,12.31,0.0
185,12.35,0.0
